序号,英文名称,节目名称,类型,集数,时长,年代,国家
1,,黄金鱼,剧情,133,30,2010,韩国
2,Enjoy life,享受人生,爱情,133,30,2009,韩国
3,A Pink Lipstick,粉红色唇膏,爱情,149,60,2010,韩国
4,,同伊,剧情,60,60,2010,韩国
5,,仍想结婚的女人,爱情,16,60,2010,韩国
6,Plan B,逃亡者,动作/爱情,30,60,2010,韩国
7,The Queen of Office,女王办公室,爱情,16,60,2010,韩国
8,You Are My Best,最佳李纯信,剧情,50,60,2013,韩国
9,Ohlala Couple,乌拉拉夫妇,剧情,18,60,2012,韩国
10,The Innocent Man,善良的男人,剧情,20,60,2012,韩国
11,Wild Romance,暴力浪漫史,爱情,16,60,2012,韩国
12,The Princess' Man,公主的男人,爱情,24,60,2011,韩国
13,Babyfaced Beauty,童颜美女,爱情,20,60,2011,韩国
14,My Fair Lady,窈窕淑女,剧情,16,60,2003,韩国
15,Don't Look Back,不要回头,剧情,20,60,,韩国
16,Mr. Goodbye,再见先生,爱情,20,60,2006,韩国
17,A love to kill,这该死的爱,爱情,20,60,2005,韩国
18,YOU WILL KNOW THAT,你会明白,爱情,19,60,,韩国
19,Love Holic,爱情中毒,爱情,20,60,2005,韩国
1,,钟无艳,爱情,31,60,2010,中国台湾
2,,第二回合我爱你,爱情,31,60,2010,中国台湾
3,,美味的想念,剧情,68,60,2013,中国台湾
4,,比赛开始,剧情,40,60,2009,中国台湾
5,,紫禁之巅,舞蹈,26,60,2004,中国台湾
6,,倪亚达,剧情,32,60,2010,中国台湾
7,,国民英雄,剧情,30,60,2011,中国台湾
9,,真爱趁现在,爱情,72,60,2013,中国台湾
10,,剩女保標,爱情,82,60,2012,中国台湾
11,,两个爸爸,剧情,73,60,2013,中国台湾
12,,我租了一个情人,爱情,31,60,2013,中国台湾
13,Ooku,大奥,剧情,11,60,2004,日本
14,PRIDE,冰上恋人,爱情,11,60,2004,日本
15,Casual Commitment,不经意的婚约,爱情,6,60,,日本
16,He Who can't marry,不能结婚的男人,爱情,12,60,2006,日本
17,Destiny of Love,东京湾景,爱情,11,60,2004,日本
18,Marrying the Farm,家有农夫,爱情,5,60,,日本
19,SLOW DANCE,慢波舞,爱情,11,60,2005,日本
20,The Turning Point of Her Life,命运拐角的女人,爱情,11,60,2005,日本
21,Top Anchor,首席女主播,爱情,10,60,2006,日本
22,Dangerous Sister,我的野蛮姐姐,爱情,10,60,,日本
23,No one like yu,小优无双,剧情,40,60,2005,日本
24,Doctor in love,小早川伸木之恋,爱情,11,60,2006,日本
25,1 Litre Tears,一公升眼泪,剧情,11,60,2005,日本
26,Engine,引擎,爱情,11,60,2005,日本
27,,回家的诱惑,剧情,33,60,2011,中国大陆
28,,回家的欲望,剧情,35,60,2011,中国大陆
29,The Gem of Life,珠光宝气,剧情,82,60,2008,中国香港
30,,精忠岳飞,古装/历史,69,60,2013,中国大陆
31,,告密者,悬疑/谍战,27,60,2010,中国大陆
32,,媳妇的美好宣言,都市、爱情,33,60,2012,中国大陆
33,,红攻瑰，黑攻瑰,女性悬疑商,31,60,2010,中国大陆
31,,圣堂风云,谍战/爱情,30,60,2011,中国大陆
35,,迷失的情感,家庭/情感,23,60,2011,中国大陆
36,,春光灿烂猪九妹,古装/神话,29,60,2010,中国大陆
37,,下南洋,剧情/战争,40,60,2009,中国大陆
38,,我的美丽人生,现代/励志,28,60,2010,中国大陆
39,,龙门镖局,古代/喜剧,40,60,2013,中国大陆
40,,五号特工组之偷天换月,革命/战争,32,60,2012,中国大陆
41,,武松,古装,50,60,2013,中国大陆
42,,温柔的慈悲,爱情、励志,30,60,2012,大陆台湾
43,,赵氏孤儿案,大型历史剧,41,60,2012,中国大陆
44,,大宅门1912,近代/传奇,39,60,2013,中国大陆
45,,零炮楼,抗日题材,30,60,2013,中国大陆
46,,利箭行动,抗战,43,60,2013,中国大陆
47,,正午阳光,当代/都市,30,60,2013,中国大陆
48,,永不回头,家庭/伦理,27,60,2010,中国大陆
49,,中国骑兵,抗战,30,60,2012,中国大陆
50,,新四大名捕,罪案,24,60,2011,中国大陆
51,,手术刀,罪案,22,60,2010,中国大陆
52,,喋血边城,革命/战争,32,60,2010,中国大陆
53,,草根王,历史/战争,30,60,2010,中国大陆
54,,碧波仙子,古装/悬疑,48,60,2011,中国大陆
55,,西游记,古装/神话,60,60,2011,中国大陆
56,,水浒传,历史/古装,86,60,2010,中国大陆
57,,红楼梦,爱情/古装,50,60,2010,中国大陆
58,,母亲的战争,家庭/伦理,32,60,2010,中国大陆
59,,我的父亲是“板凳”,生活/励志,36,60,2011,中国大陆
60,,女人如花/厂花,青春/家庭,32,60,2011,中国大陆
61,,钢铁年代,家庭/军旅,37,60,2010,中国大陆
62,,十二生肖传奇,历史/战争,34,60,2011,中国大陆
63,,黎明之前,谍战/军旅,30,60,2010,中国大陆
64,,我们队伍向太阳,爱情/战争,30,60,2010,中国大陆
65,,上海，上海,商战/历史,36,60,2010,中国大陆
66,,爱要有你才完美,爱情/都市,26,60,2010,中国大陆
67,,苍弯之昂,历史/古装,28,60,2009,中日合拍
68,,风雨沙坡头,战争/剧情,35,60,2010,中国大陆
69,,远山的红叶,现代/伦理,20,60,2010,中国大陆
70,,一一向前沖,言情/偶像,28,60,2010,中国大陆
71,,沉默,都市/悬疑,25,60,2010,中国大陆
72,,傻春,家庭/情感,34,60,2011,中国大陆
73,,烟雨斜阳,家庭/伦理,36,60,2010,中国大陆
74,,倾城绝恋,清宫爱情偶,41,60,2012,中国大陆
75,,天真遇到现实,家庭、爱情,34,60,2012,中国大陆
76,,“青春期”撞上更年期,都市/偶像,36,60,2010,中国大陆
77,,大爱无敌,爱情/现代,25,60,2009,中国大陆
78,,间谍明月,爱情、喜剧,18,60,2011,韩国
79,,面包王金卓求,励志/爱情,30,60,2010,韩国
