序号,英文名称,节目名称,类別,集数,时长,国家,配音,豆瓣观看人数,豆瓣评分,,,
1,trek-spy on the wildebeest,大迁徙 角马群里的间谍,自然动物类,2,60,英国,汉语,,
2,Life,生命,自然动物类,10,60,英国,汉语,,
3,Ganges,恒河,自然动物类,3,60,英国,汉语,,
4,Tiger - Spy In The Jungle,虎，丛林中窥探,自然动物类,3,60,英国,汉语,,
5,Yellowstone,黄石公园,自然动物类,3,60,英国,汉语,,
6,"Secret Life of Elephant, The",大象的秘密生活,自然动物类,3,60,英国,汉语,,
7,Planet Earth,地球脉动,自然动物类,11,60,英国,汉语,,
8,South Pacific,南太平洋,自然动物类,6,60,英国,汉语,,
9,Face to face with the ice bear,与北极熊面对面,自然动物类,1,60,日本,汉语,,
10,Wild Secrets,野生动物的秘密 第1-4季,自然动物类,52,30,日本,汉语,,
11,Shape of life,生命的形状,自然动物类,8,60,美国,汉语,,
12,LIFE IN THE CANOPY,树冠上的生活,自然动物类,3,60,英国,汉语,,
13,Victoria Falls,维多利亚瀑布,自然动物类,1,60,英国,汉语,,
14,Birds.of.Paradise,鸟的天堂,自然动物类,1,60,英国,汉语,,
15,"HIDDEN HIGHLANDS, THE",隐藏的高地,自然动物类,1,60,英国,汉语,,
16,PREDATOR X,掠食者,自然动物类,1,90,英国,汉语,,
17,WILD CHINA,美丽中国,自然动物类,6,60,英国,汉语,,
18,Equator,赤道,自然动物类,6,60,日本,汉语,,
19,Butterflies,蝴蝶—英国人的迷恋之物,自然动物类,1,60,英国,汉语,,
20,"Himalayas, The",喜马拉雅山,自然动物类,1,60,英国,汉语,,
21,Mapping The World,把地球绘进地图,自然动物类,3,60,英国,汉语,,
22,Mountain Gorilla,山地大猩猩,自然动物类,3,60,英国,汉语,,
24,Kingdom of the Elephants,大象王国,自然动物类,1,60,美国,原文,,
25,The Pack,野狗的故事,自然动物类,5,30,美国,原文,,
27,AMAZING PLANET,奇妙星球,自然动物类,3,60,美国,汉语,,
28,INTO THE PRIDE,拯救骄傲的狮子,自然动物类,5,60,美国,汉语,,
31,Private life of a masterpiece,杰作背后的故事 第4季,人文、历史,3,60,英国,汉语,,
32,Private life of a masterpiece,杰作背后的故事 第5季,人文、历史,3,60,英国,汉语,,
33,Private Life Of Masterpiece,杰作背后的故事 第6季,人文、历史,3,60,英国,汉语,,
34,Space Minllennium,宇宙千年,人文、历史,8,60,日本,汉语,,
35,Treasure Seekers,探宝者,人文、历史,11,60,美国,汉语,,
36,genius in art,艺术的天才,人文、历史,6,60,日本,汉语,,
37,A Tale of Castles and Kings,城堡与国王,人文、历史,5,60,日本,汉语,,
38,Lost Cities of Ancients,消失的古文明,人文、历史,3,60,英国,汉语,,
39,Byzantine Millennium,千年拜占庭,人文、历史,3,60,日本,汉语,,
40,Warriors,勇士,人文、历史,6,60,英国,汉语,,
41,Chocolate Alchemy,巧克力炼金术,人文、历史,1,60,日本,汉语,,
42,The Habsburg Empire,哈布斯堡帝国,人文、历史,3,60,日本,汉语,,
43,Hiroshima,广岛,人文、历史,1,90,英国,汉语,,
44,Hannibal,汉尼拔,人文、历史,1,90,英国,汉语,,
45,Takeshi Kaneshiro's Antarctic Adventure,金城武的南极探险,人文、历史,2,60,日本,汉语,,
46,window to the louvre,卢浮宫之旅,人文、历史,3,60,日本,汉语,,
47,The Ascent of Money,金钱的故事,人文、历史,6,60,英国,汉语,,
48,Gugongs Treasure,故宫至宝,人文、历史,12,60,日本,汉语,,
49,HUMAN JOURNEY,人类旅程,人文、历史,5,60,英国,汉语,,
50,,再说长江,人文、历史,33,30,中国,汉语,,
51,,奥运档案,人文、历史,11,60,中国,汉语,,
52,,故宫,人文、历史,12,60,中国,汉语,,
53,,颐和园,人文、历史,6,60,中国,汉语,,
54,,敦煌,人文、历史,10,60,中国,汉语,,
55,,大三峡,人文、历史,8,60,中国,汉语,,
56,,故宫精编,人文、历史,2,60,中国,汉语,,
57,,天堂,人文、历史,2,60,中国,汉语,,
58,Ancient World Eps 1-6,古老的世界,人文、历史,6,60,英国,汉语,,
59,Paul Merton In Europe,保罗莫顿在欧洲,人文、历史,6,60,英国,汉语,,
60,Paul Merton In India,保罗莫顿在印度,人文、历史,5,60,英国,汉语,,
61,"Seven Ages Of Britain, The",英国文化的七个时代,人文、历史,7,60,英国,汉语,,
63,Museum Secrets,博物馆的秘密,人文、历史,12,60,英国,汉语,,
64,Museum Secrets Specials,博物馆的秘密——特别篇,人文、历史,2,60,英国,汉语,,
66,Planet Science,地球科学,科技探索,13,60,英国,汉语,,
70,Vertical City,城市之巅,科技探索,10,60,英国,汉语,,
71,Design Superheroes,设计超人,科技探索,6,30,英国,汉语,,
72,Gear,引擎,科技探索,13,30,英国,汉语,,
73,The Best Recipes In the World,舌尖上的世界,科技探索,13,30,美国,汉语,,
74,First Ascent: The Series,世界之巅,科技探索,6,30,美国,汉语,,
75,Save My Planet,绿色生活,科技探索,13,30,美国,汉语,,
76,Sky View,空中游欧陆,科技探索,4,30,英国,汉语,,
77,Mega Art,建造巨型艺术,科技探索,3,60,英国,汉语,,
78,What is Beauty,美是什么,科技探索,1,60,英国,汉语,,
79,Blowdown,爆破达人,科技探索,4,60,美国,汉语,,
67,True Stories,真实的故事,科技探索,5,60,英国,汉语,,
